title,platform,edition,status,format,region,completeness,condition,release_date,publisher,developer,genre,barcode,purchase_date,purchase_price,store,added_date,notes,clz_index,source
Mary Skelter Finale,Nintendo Switch,,owned,,,,,"Oct 01, 2021",Idea Factory International,Compile Heart,RPG,,,,,"Apr 15, 2025",,,clz
Megadimension Neptunia VII,Nintendo Switch,,owned,,,,,"Jul 28, 2020",Idea Factory International,Compile Heart,RPG,,,,,"Sep 19, 2025",,,clz
Mercenaries Saga: Chronicles,Nintendo Switch,,owned,,,,,"Sep 09, 2018",PM Studios,PM Studios,Strategy,,,,,"Apr 15, 2025",,,clz
Merry Bunny Garden,Nintendo Switch,,owned,,,,,"Mar 12, 2026",Arc System Works,qureate,Visual Novel,,,,,"Apr 04, 2026",,,clz
Metal Slug Tactics,Nintendo Switch,,owned,,,,,"Feb 28, 2025",Pix'n Love Games,Leikir Studio,Strategy,,,,,"Apr 29, 2025",,,clz
Metroid Prime Remastered,Nintendo Switch,,owned,,,,,"Mar 03, 2023",Nintendo,Retro Studios,Action | FPS | Shooter,,,,,"Apr 15, 2025",,,clz
Miitopia,Nintendo Switch,,owned,,,,,"May 21, 2021",Nintendo,Grezzo,RPG | Simulation,,,,,"Apr 15, 2025",,,clz
Miracle Snack Shop,Nintendo Switch,,owned,,,,,"Dec 02, 2021",playasia,playasia,Visual Novel,,,,,"Apr 15, 2025",,,clz
Moero Crystal H,Nintendo Switch,,owned,,,,,"Sep 17, 2020",EastAsiaSoft,Compile Heart,RPG,,,,,"Apr 15, 2025",,,clz
Monster Hunter Generations Ultimate,Nintendo Switch,,owned,,,,,"Aug 28, 2018",Capcom,Capcom,Action | RPG,,,,,"Apr 15, 2025",,,clz
Monster Hunter: Rise,Nintendo Switch,,owned,,,,,"Mar 26, 2021",Capcom,Capcom,Action | RPG,,,,,"Apr 15, 2025",,,clz
Monster Hunter Stories 2: Wings of Ruin,Nintendo Switch,,owned,,,,,"Jul 09, 2021",Capcom,Capcom,RPG,,,,,"Apr 15, 2025",,,clz
Mugen Souls,Nintendo Switch,,owned,,,,,"Apr 27, 2023",,,RPG,,,,,"Apr 15, 2025",,,clz
Mugen Souls Z,Nintendo Switch,,owned,,,,,"Apr 27, 2023",Eastasiasoft,Compile Heart,RPG,,,,,"Apr 15, 2025",,,clz
My Little Puppy,Nintendo Switch,,owned,,,,,"May 29, 2026",Dreamotion,Dreamotion,Adventure,,,,,"Jul 13, 2026",,,clz
Needy Streamer Overload,Nintendo Switch,,owned,,,,,"Nov 15, 2024",Serenity Forge,"Why So Serious, Inc.",Action | Adventure | Visual Novel,,,,,"Apr 15, 2025",,,clz
Nelke & the Legendary Alchemists: Ateliers of the New World,Nintendo Switch,,owned,,,,,"Mar 29, 2019",TECMO KOEI,Gust,RPG,,,,,"Apr 15, 2025",,,clz
Neptunia Game Maker R:Evolution,Nintendo Switch,,owned,,,,,"May 14, 2024",Idea Factory,Compile Heart,RPG,,,,,"Sep 04, 2025",,,clz
Neptunia Riders VS Dogoos,Nintendo Switch,,owned,,,,,"Jan 28, 2025",Idea Factory International,Compile Heart,Action/Adventure,,,,,"Sep 05, 2025",,,clz
Neptunia: Sisters VS Sisters,Nintendo Switch,,owned,,,,,"Jan 23, 2024",Idea Factory International,Compile Heart,RPG,,,,,"Sep 04, 2025",,,clz
Neptunia x Senran Kagura: Ninja Wars,Nintendo Switch,,owned,,,,,"Apr 22, 2022",Idea Factory International,Tamsoft,RPG,,,,,"Aug 15, 2025",,,clz
Neva,Nintendo Switch,,owned,,,,,"Mar 14, 2025",Devolver Digital,Nomada Studio,Action | Adventure,,,,,"Apr 19, 2025",,,clz
New Pokemon Snap,Nintendo Switch,,owned,,,,,"Apr 30, 2021",Nintendo,Bandai Namco,Adventure | Simulation,,,,,"Apr 15, 2025",,,clz
New Super Mario Bros. U Deluxe,Nintendo Switch,,owned,,,,,"Jan 11, 2019",Nintendo,Nintendo,Platformer,,,,,"Apr 15, 2025",,,clz
Ninja Gaiden: Ragebound,Nintendo Switch,,owned,,,,,"Sep 12, 2025",Silver Lining Interactive,The Game Kitchen,Platformer,,,,,"Sep 12, 2025",,,clz
Nintendo Switch Sports,Nintendo Switch,,owned,,,,,"Apr 29, 2022",Nintendo,Nintendo,Sport,,,,,"Apr 15, 2025",,,clz
Nintendo World Championships: NES Edition,Nintendo Switch,,owned,,,,,"Jul 18, 2024",Nintendo,Nintendo,Action | Party | Platformer,,,,,"Apr 15, 2025",,,clz
No More Heroes 1+2,Nintendo Switch,,owned,,,,,"Oct 07, 2021",,,Action | Adventure,,,,,"Apr 15, 2025",,,clz
No More Heroes III,Nintendo Switch,,owned,,,,,"Aug 27, 2021",Nintendo,Grasshopper Manufacture,Action,,,,,"Apr 15, 2025",,,clz
Noctuary,Nintendo Switch,,owned,,,,,"Jul 31, 2025",Game Source Entertainment,,Action/Adventure,,,,,"Sep 04, 2025",,,clz
Octopath Traveler 0,Nintendo Switch,,owned,,,,,"Nov 14, 2025",Square Enix,DokiDoki Groove Works,RPG,,,,,"Dec 04, 2025",,,clz
Octopath Traveler + Octopath Traveler II,Nintendo Switch,,owned,,,,,"Apr 02, 2025",Square Enix,Square Enix,RPG,,,,,"Aug 02, 2025",,,clz
Omega Labyrinth Life,Nintendo Switch,,owned,,,,,"Aug 01, 2019",H2 Interactive,D3 Publisher,RPG,,,,,"Apr 15, 2025",,,clz
Otoko Cross: Naked Remix,Nintendo Switch,,owned,,,,,"Jun 30, 2023",Funbox Media,Eastasiasoft,Puzzle,,,,,"Apr 15, 2025",,,clz
Otoko Cross: Naked Remix 2,Nintendo Switch,,owned,,,,,"Oct 18, 2024",Funbox Media,Eastasiasoft,Puzzle,,,,,"Apr 15, 2025",,,clz
Panic in Sweets Land,Nintendo Switch,,owned,,,,,"May 23, 2024",Arc System Works,Sonic Powered,Action | Adventure | Platformer,,,,,"May 19, 2025",,,clz
Paper Mario: The Origami King,Nintendo Switch,,owned,,,,,"Jul 17, 2020",Nintendo,Intelligent Systems,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Paper Mario: The Thousand-Year Door,Nintendo Switch,,owned,,,,,"May 23, 2024",Nintendo,Intelligent Systems,RPG,,,,,"Apr 15, 2025",,,clz
Patapon 1 + 2 Replay,Nintendo Switch,,owned,,,,,"Jul 10, 2025",Bandai Namco,"SAS CO.,LTD.",Compilation,,,,,"Aug 06, 2025",,,clz
Pawarumi,Nintendo Switch,,owned,,,,,"Dec 11, 2020",Manufacture 43,Eastasiasoft,Shoot'em Up,,,,,"Apr 15, 2025",,,clz
Perky Little Things,Nintendo Switch,,owned,,,,,"Nov 12, 2021",Funbox Media,Sometimes You,Puzzle,,,,,"Apr 15, 2025",,,clz
Pikmin 1 + 2,Nintendo Switch,,owned,,,,,"Sep 22, 2023",Nintendo,Nintendo,Action | Adventure,,,,,"Apr 15, 2025",,,clz
Pikmin 3 Deluxe,Nintendo Switch,,owned,,,,,"Oct 30, 2020",Nintendo,Nintendo,Strategy,,,,,"Apr 15, 2025",,,clz
Pikmin 4,Nintendo Switch,,owned,,,,,"Jul 21, 2023",Nintendo,Nintendo,Strategy,,,,,"Apr 15, 2025",,,clz
Pizza Tower,Nintendo Switch,,owned,,,,,"Oct 10, 2025",,,Platformer,,,,,"Oct 09, 2025",,,clz
Pocky & Rocky Reshrined,Nintendo Switch,,owned,,,,,"Jul 08, 2022",ININ Games,Natsume Inc.,Action,,,,,"Apr 15, 2025",,,clz
Pokemon Brilliant Diamond & Shining Pearl Dual Pack,Nintendo Switch,,owned,,,,,"Nov 19, 2021",Nintendo,ILCA,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Legends: Arceus,Nintendo Switch,,owned,,,,,"Jan 28, 2022",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Mystery Dungeon: Rescue Team DX,Nintendo Switch,,owned,,,,,"Mar 06, 2020",Nintendo,Spike Chunsoft,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Scarlet,Nintendo Switch,,owned,,,,,"Nov 18, 2022",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokemon Scarlet & Violet Double Pack,Nintendo Switch,,owned,,,,,"Nov 18, 2022",Nintendo,Game Freak,Action | Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Pokemon Sword,Nintendo Switch,,owned,,,,,"Nov 15, 2019",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Violet,Nintendo Switch,,owned,,,,,"Nov 18, 2022",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Potionomics,Nintendo Switch,,owned,,,,,"Oct 22, 2024",Marvelous,,Action | Adventure,,,,,"Apr 23, 2025",,,clz
Pretty Girls Game Collection,Nintendo Switch,,owned,,,,,"Aug 05, 2022",Funbox Media,EastAsiaSoft,Puzzle,,,,,"Apr 15, 2025",,,clz
Pretty Girls Game Collection II,Nintendo Switch,,owned,,,,,"Sep 16, 2022",Funbox Media,Eastasiasoft,Puzzle,,,,,"Apr 15, 2025",,,clz
Pretty Girls Game Collection IV,Nintendo Switch,,owned,,,,,"Sep 20, 2024",Funbox Media,EastAsiaSoft,,,,,,"Apr 15, 2025",,,clz
Princess Peach: Showtime!,Nintendo Switch,,owned,,,,,"Mar 22, 2024",Nintendo,Nintendo,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Prinny 1&2: Exploded and Reloaded,Nintendo Switch,,owned,,,,,"Oct 16, 2020",NIS America,Nippon Ichi Software,Platformer,,,,,"Apr 15, 2025",,,clz
Prison Princess / Prison Princess: Trapped Allure,Nintendo Switch,,owned,,,,,"Jun 26, 2025",Arc System Works,qureate,Adventure,,,,,"Aug 06, 2025",,,clz
Progress Orders,Nintendo Switch,,owned,,,,,"Apr 10, 2024",BushiRoad,HAKAMA,RPG,,,,,"Apr 25, 2025",,,clz
Puzzle Bobble Everybubble!,Nintendo Switch,,owned,,,,,"May 23, 2023",ININ Games,Taito Corporation,Arcade | Puzzle,,,,,"Apr 15, 2025",,,clz
R-Type Final 2,Nintendo Switch,,owned,,,,,"Apr 30, 2021",NIS Europe,Granzella Inc.,Action,,,,,"Apr 15, 2025",,,clz
Raiden Fighters Remix Collection,Nintendo Switch,,owned,,,,,"Feb 26, 2026",Moss,Moss,Compilation,,,,,"Mar 14, 2026",,,clz
Raiden III X Mikado MANIAX,Nintendo Switch,,owned,,,,,"Feb 21, 2025",NIS Europe,Moss,Action | Shoot'em Up | Shooter,,,,,"May 19, 2025",,,clz
Raiden IV x MIKADO Remix,Nintendo Switch,,owned,,,,,"Oct 22, 2021",UFO Interactive Games,Moss,Action | Shoot'em Up,,,,,"Apr 15, 2025",,,clz
Raiden V: Director's Cut,Nintendo Switch,,owned,,,,,"Jul 23, 2019",UFO Interactive,Moss,Shooter,,,,,"Apr 15, 2025",,,clz
Rainbow Cotton,Nintendo Switch,,owned,,,,,2024,Success,ININ,Shooter,,,,,"Apr 15, 2025",,,clz
Red Colony Trilogy,Nintendo Switch,,owned,,,,,"Feb 01, 2023",Eastasiasoft Limited,RunicCodes,Action | Horror,,,,,"Apr 15, 2025",,,clz
Rhythm Heaven Groove,Nintendo Switch,,owned,,,,,"Jul 02, 2026",Nintendo,TNX,Rhythm,,,,,"Jul 06, 2026",,,clz
River City Girls 1+2,Nintendo Switch,,owned,,,,,"Sep 09, 2022",Arc System Works,WayForward,Beat'em Up,,,,,"Apr 15, 2025",,,clz
Riviera: The Promised Land Remaster,Nintendo Switch,,owned,,,,,"Jul 30, 2026",Atlus USA,Atlus,RPG,,,,,"Sep 01, 2026",,,clz
RollerCoaster Tycoon Adventures Deluxe,Nintendo Switch,,owned,,,,,"Nov 03, 2023",Atari,Nvizzio Creations,Simulation | Strategy,,,,,"Apr 15, 2025",,,clz
RollerCoaster Tycoon Classic,Nintendo Switch,,owned,,,,,"Apr 24, 2025",Atari,Chris Sawyer,Simulation | Simulator,,,,,"Apr 24, 2025",,,clz
Romancing SaGa 2: Revenge of the Seven,Nintendo Switch,,owned,,,,,"Oct 24, 2024",Square Enix,Square Enix,RPG,,,,,"Apr 17, 2025",,,clz
Romancing SaGa: Minstrel Song Remastered,Nintendo Switch,,owned,,,,,"Mar 30, 2023",Square Enix,Square Enix,RPG,,,,,"May 19, 2025",,,clz
Runbow,Nintendo Switch,,owned,,,,,"Aug 10, 2018",HeadUp Games,13AM Games,Platformer,,,,,"Apr 15, 2025",,,clz
S.T.A.L.K.E.R.: Legends of the Zone Trilogy,Nintendo Switch,,owned,,,,,"Mar 27, 2025",Sega,GSC Game World,Action | Shooter,,,,,"May 31, 2025",,,clz
SAEKO: Giantess Dating Sim,Nintendo Switch,,owned,,,,,"Jun 25, 2026",HYPER REAL,,Visual Novel,,,,,"Jul 14, 2026",,,clz
SaGa Emerald Beyond,Nintendo Switch,,owned,,,,,"Jul 12, 2024",Square Enix,Square Enix,Action/Adventure | RPG | Strategy,,,,,"May 31, 2025",,,clz
SaGa Frontier 2 Remastered,Nintendo Switch,,owned,,,,,"Mar 28, 2025",Square Enix,Square Enix,RPG,,,,,"Aug 26, 2025",,,clz
SaGa: Scarlet Grace - Ambitions,Nintendo Switch,,owned,,,,,"Apr 21, 2022",Square Enix,Square Enix,RPG,,,,,"May 19, 2025",,,clz
Schildmaid MX,Nintendo Switch,,owned,,,,,"Nov 26, 2025",EastAsiaSoft,HitP Studio,Shoot'em Up,,,,,"Dec 14, 2025",,,clz
Sea Horizon,Nintendo Switch,,owned,,,,,"Feb 22, 2023",EastAsiaSoft,45 Studio,Board | RPG,,,,,"Apr 15, 2025",,,clz
Sea of Stars,Nintendo Switch,,owned,,,,,"May 10, 2024",iam8bit,Sabotage Studio,Adventure | RPG,,,,,"Apr 23, 2025",,,clz
Sense: A Cyberpunk Ghost Story,Nintendo Switch,,owned,,,,,"Jan 07, 2021",EastAsiaSoft,Top Hat Studios,Visual Novel,,,,,"Apr 15, 2025",,,clz
SENSEs: Midnight,Nintendo Switch,,owned,,,,,"Jun 07, 2023",EastAsiaSoft,Top Hat Studios,Action/Adventure | Adventure | Puzzle,,,,,"Apr 15, 2025",,,clz
Seven Pirates H,Nintendo Switch,,owned,,,,,"Jun 30, 2022",EastAsiaSoft,Idea Factory,RPG,,,,,"Apr 15, 2025",,,clz
Shantae,Nintendo Switch,,owned,,,,,"Oct 16, 2022",Limited Run Games,WayForward,Action/Adventure | Platformer,,,,,"Apr 15, 2025",,,clz
Shantae Advance: Risky Revolution,Nintendo Switch,,owned,,,,,"Aug 08, 2025",Limited Run Games,WayForward,Action | Adventure,,,,,"Dec 08, 2025",,,clz
Shantae and the Seven Sirens,Nintendo Switch,,owned,,,,,"May 28, 2020",XSeed,Way Forward,Platformer,,,,,"Apr 15, 2025",,,clz
Shantae: Half Genie Hero,Nintendo Switch,,owned,,,,,"Apr 27, 2018",XSeed,Way Forward,Platformer,,,,,"Apr 15, 2025",,,clz
Shantae: Risky's Revenge,Nintendo Switch,,owned,,,,,"Oct 11, 2022",Limited Run Games,WayForward,Action | Fighting | Platformer,,,,,"Apr 15, 2025",,,clz
Shin Chan: Shiro Of Coal Town,Nintendo Switch,,owned,,,,,"Jul 31, 2025",Clear River Games,h.a.n.d.,Action | Adventure,,,,,"Jul 31, 2025",,,clz
Shin Megami Tensei 5,Nintendo Switch,,owned,,,,,"Nov 12, 2021",Sega,Atlus,RPG,,,,,"Apr 15, 2025",,,clz
Shinorubi,Nintendo Switch,,owned,,,,,"Apr 01, 2024",Red Art Games,Last Boss 88,Shoot'em Up | Shooter,,,,,"Apr 15, 2025",,,clz
Shuttlecock-H,Nintendo Switch,,owned,,,,,"Jul 21, 2023",Funbox Media,Eastasiasoft,Action,,,,,"Apr 15, 2025",,,clz
Signalis,Nintendo Switch,,owned,,,,,"Mar 17, 2023",Humble Games,rose-engine,Action | Action/Adventure | Adventure,,,,,"Apr 15, 2025",,,clz
Simon the Sorcerer Origins,Nintendo Switch,,owned,,,,,"Oct 24, 2025",,,,,,,,"Oct 31, 2025",,,clz
Slime Girl Smoothies,Nintendo Switch,,owned,,,,,"Dec 08, 2023",Funbox Media,Shady Corner Games,Other | Puzzle | Simulator,,,,,"Apr 17, 2025",,,clz
Smashing the Battle,Nintendo Switch,,owned,,,,,"Sep 29, 2016",Magic Cube,Magic Cube,Action | Adventure | Arcade,,,,,"Apr 15, 2025",,,clz
"Snipperclips Plus: Cut it out, together!",Nintendo Switch,,owned,,,,,"Nov 10, 2017",Nintendo,SFB Games,Puzzle,,,,,"Apr 15, 2025",,,clz
SNK Heroines: Tag Team Frenzy,Nintendo Switch,,owned,,,,,"Sep 07, 2018",NIS Europe,SNK Playmore,Fighting,,,,,"Apr 15, 2025",,,clz
Söldner-X Complete Collection,Nintendo Switch,,owned,,,,,"May 14, 2026",EastAsiaSoft,SideQuest Studios,Shoot'em Up,,,,,"May 27, 2026",,,clz
Splatoon 2,Nintendo Switch,,owned,,,,,"Jul 21, 2017",Nintendo,Nintendo,Action,,,,,"Apr 15, 2025",,,clz
Splatoon 3,Nintendo Switch,,owned,,,,,"Sep 09, 2022",Nintendo,Nintendo,Action | Third Person Shooter,,,,,"Apr 15, 2025",,,clz
Star Ocean: The Second Story R,Nintendo Switch,,owned,,,,,"Nov 02, 2023",Square Enix,Gemdrops,RPG,,,,,"Apr 24, 2025",,,clz
Star Overdrive,Nintendo Switch,,owned,,,,,"Apr 10, 2025",3goo,Caracal Games,Action | Adventure,,,,,"Apr 17, 2025",,,clz
Star Wars: Dark Forces Remaster,Nintendo Switch,,owned,,,,,"Mar 13, 2026",Atari,Nightdive Studios,Action | Adventure | FPS,,,,,"Mar 14, 2026",,,clz
Star Wars Jedi Knight: Jedi Academy,Nintendo Switch,,owned,,,,,"Mar 26, 2020",Limited Run Games,Aspyr,Action/Adventure | FPS,,,,,"Apr 15, 2025",,,clz
Star Wars: Knights of the Old Republic,Nintendo Switch,,owned,,,,,"Jul 11, 2022",Limited Run Games,Aspyr Media,Action | Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Star Wars: Knights of the Old Republic II - The Sith Lords,Nintendo Switch,,owned,,,,,"Apr 28, 2023",Limited Run Games,Aspyr Media,Action | RPG,,,,,"Apr 15, 2025",,,clz
Star Wars: Knights of the Old Republic II: The Sith Lords,Nintendo Switch,,owned,,,,,"Jun 08, 2022",Limited Run Games,Aspyr Media,Action | Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Starbites,Nintendo Switch,,owned,,,,,"May 21, 2026",NIS America,"IKINAGAMES Co., Ltd.",RPG,,,,,"May 31, 2026",,,clz
Stardew Valley,Nintendo Switch,,owned,,,,,"Nov 06, 2020",Fangamer,ConcernedApe,RPG | Simulator,,,,,"May 10, 2025",,,clz
Stellar Wanderer DX,Nintendo Switch,,owned,,,,,"Apr 10, 2026",Leoful,Dream Builder Studios,Simulation,,,,,"May 27, 2026",,,clz
Strange Horticulture + Strange Antiquities,Nintendo Switch,,owned,,,,,,,,,,,,,"Jul 06, 2026",,,clz
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,Nintendo Switch,,owned,,,,,"Mar 06, 2025",Konami Digital Entertainment GmbH,Konami,RPG,,,,,"Apr 17, 2025",,,clz
Super Bullet Break,Nintendo Switch,,owned,,,,,"Sep 01, 2022",PQube,BeXide,Strategy,,,,,"Apr 15, 2025",,,clz
Super Mario 3D All-Stars,Nintendo Switch,,owned,,,,,"Sep 18, 2020",Nintendo,Nintendo,Platformer,,,,,"Apr 15, 2025",,,clz
Super Mario 3D World + Bowser's Fury,Nintendo Switch,,owned,,,,,"Feb 12, 2021",Nintendo,Nintendo,Platformer,,,,,"Apr 15, 2025",,,clz
Super Mario Bros. Wonder,Nintendo Switch,,owned,,,,,"Oct 20, 2023",Nintendo,Nintendo,Platformer,,,,,"Apr 15, 2025",,,clz
Super Mario Galaxy + Super Mario Galaxy 2,Nintendo Switch,,owned,,,,,"Oct 02, 2025",Nintendo,,Platformer,,,,,"Oct 04, 2025",,,clz
Super Mario Maker 2,Nintendo Switch,,owned,,,,,"Jun 28, 2019",Nintendo,Nintendo,Platformer,,,,,"Apr 15, 2025",,,clz
Super Mario Odyssey,Nintendo Switch,,owned,,,,,"Oct 27, 2017",Nintendo,Nintendo,Platformer,,,,,"Apr 15, 2025",,,clz
Super Mario Party,Nintendo Switch,,owned,,,,,"Oct 05, 2018",Nintendo,Nintendo,Party,,,,,"Apr 15, 2025",,,clz
Super Mario Party Jamboree,Nintendo Switch,,owned,,,,,"Oct 17, 2024",Nintendo,NdCube,Board | Party,,,,,"Apr 15, 2025",,,clz
Super Mario RPG,Nintendo Switch,,owned,,,,,"Nov 17, 2023",Nintendo,ArtePiazza,RPG,,,,,"Apr 15, 2025",,,clz
Super Monkey Ball: Banana Mania,Nintendo Switch,,owned,,,,,"Oct 05, 2021",Sega,Ryu ga Gotoku Studio,Platformer,,,,,"Apr 15, 2025",,,clz
Super Neptunia RPG,Nintendo Switch,,owned,,,,,"Jun 28, 2019",Idea Factory International,Artisan Studios,RPG,,,,,"Sep 05, 2025",,,clz
Super Smash Bros. Ultimate,Nintendo Switch,,owned,,,,,"Dec 07, 2018",Nintendo,HAL Labs,Fighting,,,,,"Apr 15, 2025",,,clz
Sword & Fairy Inn 2,Nintendo Switch,,owned,,,,,"Jul 27, 2023",EastAsiaSoft,Softstar Entertainment,Adventure | Puzzle | Simulation,,,,,"Apr 15, 2025",,,clz
Syberia Trilogy,Nintendo Switch,,owned,,,,,"Nov 08, 2019",Microids,Koalabs,Adventure,,,,,"Apr 15, 2025",,,clz
Taboo Trial,Nintendo Switch,,owned,,,,,"Aug 08, 2024",,,RPG,,,,,"Apr 15, 2025",,,clz
Tactics Ogre: Reborn,Nintendo Switch,,owned,,,,,"Nov 11, 2022",Square Enix,Square Enix,Strategy,,,,,"Apr 15, 2025",,,clz
Tales of Berseria Remastered,Nintendo Switch,,owned,,,,,"Feb 27, 2026",Bandai Namco,D.A.G Inc.,RPG,,,,,"Mar 09, 2026",,,clz
Tales of Graces f Remastered,Nintendo Switch,,owned,,,,,"Jan 17, 2025",Bandai Namco,TOSE,Action | RPG,,,,,"Dec 18, 2025",,,clz
Tales Of Symphonia Remastered,Nintendo Switch,,owned,,,,,"Feb 17, 2023",Bandai Namco,Bandai Namco,RPG,,,,,"Apr 15, 2025",,,clz
Tales of Vesperia: Definitive Edition,Nintendo Switch,,owned,,,,,"Jan 11, 2019",Bandai Namco,Bandai Namco,RPG,,,,,"Dec 18, 2025",,,clz
Tales of Xillia Remastered,Nintendo Switch,,owned,,,,,"Oct 31, 2025",Bandai Namco,DokiDoki Groove Works,RPG,,,,,"Dec 18, 2025",,,clz
Tamagotchi Plaza,Nintendo Switch,,owned,,,,,"Jun 27, 2025",Bandai Namco,Bandai Namco,Virtual Pet,,,,,"Jun 28, 2025",,,clz
Teenage Mutant Ninja Turtles: Shredder's Revenge,Nintendo Switch,,owned,,,,,"Dec 15, 2023",Merge Games,Tribute Games,Action | Arcade | Beat'em Up,,,,,"Apr 15, 2025",,,clz
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Nintendo Switch,,owned,,,,,"Aug 30, 2022",Konami Digital Entertainment GmbH,Digital Eclipse,Action | Fighting,,,,,"Apr 15, 2025",,,clz
Tetris Forever,Nintendo Switch,,owned,,,,,"Mar 31, 2025",Clear River Games,Digital Eclipse,Puzzle,,,,,"Apr 29, 2025",,,clz
The Disney Afternoon Collection,Nintendo Switch,,owned,,,,,"May 29, 2026",Atari,Digital Eclipse,Compilation,,,,,"May 29, 2026",,,clz
The House in Fata Morgana,Nintendo Switch,,owned,,,,,"Aug 20, 2026",Clear River Games,HuneX,Adventure | Visual Novel,,,,,"Aug 26, 2026",,,clz
The Hundred Line: Last Defense Academy,Nintendo Switch,,owned,,,,,"Apr 24, 2025",Aniplex Inc.,Too Kyo Games,Visual Novel,,,,,"May 10, 2025",,,clz
The Last Spell,Nintendo Switch,,owned,,,,,"Dec 19, 2023",The Arcade Crew,Ishtar Games,RPG | Strategy,,,,,"May 19, 2025",,,clz
The Legend of Heroes: Trails beyond the Horizon,Nintendo Switch,,owned,,,,,"Jan 15, 2026",NIS,Falcom,RPG,,,,,"Jan 30, 2026",,,clz
The Legend of Heroes: Trails from Zero,Nintendo Switch,,owned,,,,,"Sep 30, 2022",NIS,Falcom,RPG,,,,,"Dec 18, 2025",,,clz
The Legend of Heroes: Trails through Daybreak,Nintendo Switch,,owned,,,,,"Jul 05, 2024",NIS,Falcom,RPG,,,,,"Dec 18, 2025",,,clz
The Legend of Heroes: Trails through Daybreak II,Nintendo Switch,,owned,,,,,"Feb 14, 2025",NIS,Falcom,RPG,,,,,"Dec 18, 2025",,,clz
The Legend of Heroes: Trails to Azure,Nintendo Switch,,owned,,,,,"Mar 17, 2023",NIS,Falcom,RPG,,,,,"Dec 18, 2025",,,clz
The Legend of Nayuta: Boundless Trails,Nintendo Switch,,owned,,,,,"Sep 19, 2023",NIS America,Falcom,Action | RPG,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Breath of the Wild,Nintendo Switch,,owned,,,,,"Mar 03, 2017",Nintendo,Nintendo,Action | Adventure | RPG,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Echoes of Wisdom,Nintendo Switch,,owned,,,,,"Sep 26, 2024",Nintendo,Grezzo,Action | Adventure,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Link's Awakening,Nintendo Switch,,owned,,,,,"Sep 20, 2019",Nintendo,Nintendo,Action/Adventure | RPG,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Skyward Sword HD,Nintendo Switch,,owned,,,,,"Jul 16, 2021",Nintendo,Nintendo,Action | Adventure,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,,owned,,,,,"May 12, 2023",Nintendo,Nintendo,Adventure | RPG,,,,,"Apr 15, 2025",,,clz
The Wonderful 101: Remastered,Nintendo Switch,,owned,,,,,"Jul 03, 2020",Nighthawk Interactive,PlatinumGames Inc.,Action,,,,,"Apr 15, 2025",,,clz
Tiny Bookshop,Nintendo Switch,,owned,,,,,"Aug 07, 2025",Skystone Games,Neoludic games,Strategy,,,,,"Apr 14, 2026",,,clz
Toaplan Arcade Collection Vol. 1,Nintendo Switch,,owned,,,,,"Aug 14, 2025",Clear River Games,,,,,,,"Aug 19, 2025",,,clz
Toaplan Arcade Collection Vol. 2,Nintendo Switch,,owned,,,,,"Aug 14, 2025",Clear River Games,,,,,,,"Aug 16, 2025",,,clz
Tokyo Mirage Sessions #FE Encore,Nintendo Switch,,owned,,,,,"Jan 17, 2020",Nintendo,Atlus,RPG,,,,,"Apr 15, 2025",,,clz
Touhou Bubble Spell,Nintendo Switch,,owned,,,,,"Oct 29, 2020",Arc System Works,Taito,Music | Puzzle | Rhythm,,,,,"Apr 15, 2025",,,clz
Towa and the Guardians of the Sacred Tree,Nintendo Switch,,owned,,,,,"Sep 19, 2025",Bandai Namco,,RPG,,,,,"Sep 23, 2025",,,clz
Trails In The Sky 1st Chapter,Nintendo Switch,,owned,,,,,"Sep 19, 2025",Clear River Games,Falcom,RPG,,,,,"Sep 27, 2025",,,clz
Triangle Strategy,Nintendo Switch,,owned,,,,,"Mar 04, 2022",Square Enix,Artdink,RPG | Strategy,,,,,"Apr 15, 2025",,,clz
Trigger Witch,Nintendo Switch,,owned,,,,,"Nov 16, 2021",Eastasiasoft Limited,Rainbite Limited,Shoot'em Up | Shooter,,,,,"Apr 15, 2025",,,clz
Turok Trilogy Bundle,Nintendo Switch,,owned,,,,,"Oct 31, 2025",,Nightdive Studios,FPS,,,,,"Nov 03, 2025",,,clz
