title,platform,edition,status,format,region,completeness,condition,release_date,publisher,developer,genre,barcode,purchase_date,purchase_price,store,added_date,notes,clz_index,source
Dead In Vinland,Nintendo Switch,,owned,,,,,"Apr 12, 2018",Playdius,CCCP,,,,,,"Apr 15, 2025",,,clz
Dead or Alive Xtreme 3: Scarlet,Nintendo Switch,,owned,,,,,"Mar 20, 2019",Koei Tecmo,Team Ninja,Sports,,,,,"Apr 15, 2025",,,clz
Dead or School,Nintendo Switch,,owned,,,,,"Mar 13, 2020",Marvelous,Studio Nanafushi,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Deadcraft,Nintendo Switch,,owned,,,,,"Feb 16, 2023",Arc System Works,Marvelous,Action | Horror,,,,,"May 19, 2025",,,clz
Deadly Premonition 2: A Blessing in Disguise,Nintendo Switch,,owned,,,,,"Jul 10, 2020",Rising Star,Toybox Inc,Action/Adventure | Horror,,,,,"Apr 15, 2025",,,clz
Death end re;Quest 2,Nintendo Switch,,owned,,,,,"Feb 11, 2022",Idea Factory International,Compile Heart,RPG,,,,,"Apr 15, 2025",,,clz
Demon Throttle,Nintendo Switch,,owned,,,,,"Dec 20, 2023",Devolver Digital,doinksoft,Action | Arcade | Shooter,,,,,"Apr 15, 2025",,,clz
Detective Dotson,Nintendo Switch,,owned,,,,,,,,,,,,,"Nov 19, 2025",,,clz
Detective Pikachu Returns,Nintendo Switch,,owned,,,,,"Oct 06, 2023",Nintendo,Creatures Inc.,Adventure,,,,,"Apr 15, 2025",,,clz
Digimon Story Time Stranger,Nintendo Switch,,owned,,,,,"Jul 10, 2026",Bandai Namco,Media Vision,RPG,,,,,"Jul 11, 2026",,,clz
Dimension Drive,Nintendo Switch,,owned,,,,,"Jul 10, 2018",EastAsiaSoft,2Awesome Studio,Shooter,,,,,"Apr 15, 2025",,,clz
Disgaea 6: Defiance of Destiny,Nintendo Switch,,owned,,,,,"Jun 29, 2021",NIS America,Nippon Ichi Software,RPG | Strategy,,,,,"Apr 15, 2025",,,clz
Disgaea 7: Vows of the Virtueless,Nintendo Switch,,owned,,,,,"Oct 03, 2023",NIS America,Nippon Ichi Software,RPG,,,,,"Apr 15, 2025",,,clz
Disney Epic Mickey: Rebrushed,Nintendo Switch,,owned,,,,,"Sep 24, 2024",THQ Nordic,Purple Lamp,Action/Adventure | Adventure | Platformer,,,,,"Apr 15, 2025",,,clz
Disney Tsum Tsum Festival,Nintendo Switch,,owned,,,,,"Nov 08, 2019",Bandai Namco,Bandai Namco,Party,,,,,"Apr 15, 2025",,,clz
DoDonPachi Resurrection,Nintendo Switch,,owned,,,,,"Sep 30, 2024",Clear River Games,Cave,Shoot'em Up | Shooter,,,,,"Apr 15, 2025",,,clz
Donkey Kong Country Returns HD,Nintendo Switch,,owned,,,,,"Jan 16, 2025",Nintendo,Forever Entertainment,Action | Platformer,,,,,"Apr 15, 2025",,,clz
Donkey Kong Country: Tropical Freeze,Nintendo Switch,,owned,,,,,"May 04, 2018",Nintendo,Retro Studios,Platformer,,,,,"Apr 15, 2025",,,clz
Doom Sweeper: Rapid Fire Edition,Nintendo Switch,,owned,,,,,"Jul 10, 2025",,,Strategy,,,,,"Sep 04, 2025",,,clz
DOOM: The Classics Collection,Nintendo Switch,,owned,,,,,"Apr 02, 2021",Limited Run Games,Nightdive Studios,Action | Adventure | FPS,,,,,"Apr 15, 2025",,,clz
Dr Kawashima's Brain Training,Nintendo Switch,,owned,,,,,"Jan 03, 2020",Nintendo,Nintendo,Puzzle,,,,,"Apr 15, 2025",,,clz
Dragon Quest I & II HD-2D Remake,Nintendo Switch,,owned,,,,,"Oct 30, 2025",Square Enix,Artdink,RPG,,,,,"Oct 31, 2025",,,clz
Dragon Quest III HD-2D Remake,Nintendo Switch,,owned,,,,,"Nov 14, 2024",Square Enix,Artdink,RPG,,,,,"Apr 24, 2025",,,clz
Dragon Quest VII Reimagined,Nintendo Switch,,owned,,,,,"Feb 05, 2026",Square Enix,HexaDrive,RPG,,,,,"Feb 09, 2026",,,clz
Dragon Quest XI S: Echoes of an Elusive Age: Definitive Edition,Nintendo Switch,,owned,,,,,"Sep 27, 2019",Square Enix,Square Enix,RPG,,,,,"May 10, 2025",,,clz
Dragon Star Varnir,Nintendo Switch,,owned,,,,,"Aug 03, 2021",Idea Factory International,Compile Heart,RPG,,,,,"Sep 19, 2025",,,clz
Dreamcutter,Nintendo Switch,,owned,,,,,"Jun 28, 2024",Funbox Media,,,,,,,"Apr 15, 2025",,,clz
Eastward,Nintendo Switch,,owned,,,,,"May 24, 2022",Chucklefish,Pixpil,Action | Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Eiyuden Chronicle: Hundred Heroes,Nintendo Switch,,owned,,,,,"Apr 23, 2024",505 Games,Rabbit & Bear Studios,RPG,,,,,"Apr 15, 2025",,,clz
Emio - The Smiling Man: Famicom Detective Club,Nintendo Switch,,owned,,,,,"Aug 29, 2024",Nintendo,Mages,Adventure | Point-and-click adventure | Simulation,,,,,"Apr 15, 2025",,,clz
Endless Ocean Luminous,Nintendo Switch,,owned,,,,,"May 02, 2024",Nintendo,Arika,Adventure | Simulation,,,,,"Apr 15, 2025",,,clz
Etrian Odyssey Origins Collection,Nintendo Switch,,owned,,,,,"Jun 01, 2023",Atlus,Atlus,RPG,,,,,"Apr 15, 2025",,,clz
Everybody 1-2-Switch!,Nintendo Switch,,owned,,,,,"Jun 30, 2023",Nintendo,Nintendo,Action | Party,,,,,"Apr 15, 2025",,,clz
Everybody's Golf Hot Shots,Nintendo Switch,,owned,,,,,"Sep 05, 2025",Bandai Namco,Bandai Namco,Golf,,,,,"Sep 05, 2025",,,clz
Fantasian Neo Dimension,Nintendo Switch,,owned,,,,,"Dec 05, 2024",Square Enix,Mistwalker,RPG,,,,,"Apr 15, 2025",,,clz
Fantasista Asuka Crystal Combi Collection,Nintendo Switch,,owned,,,,,"Aug 06, 2026",qureate,Arc System Works,Compilation | Sports | Visual Novel,,,,,"Aug 24, 2026",,,clz
Fantasy Tavern Sextet: Vol. 1-3 Trilogy,Nintendo Switch,,owned,,,,,,Arc System Works,,Visual Novel,,,,,"Mar 14, 2026",,,clz
Fatal Frame: Maiden of Black Water,Nintendo Switch,,owned,,,,,"Oct 28, 2021",Koei Tecmo,Koei Tecmo,Horror,,,,,"Apr 15, 2025",,,clz
Fatal Frame: Mask of the Lunar Eclipse,Nintendo Switch,,owned,,,,,"Mar 09, 2023",Koei Tecmo,Koei Tecmo,Action | Horror,,,,,"Apr 15, 2025",,,clz
Final Fantasy I-VI Collection,Nintendo Switch,,owned,,,,,"Oct 08, 2024",Square Enix,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
Final Fantasy Tactics: The Ivalice Chronicles,Nintendo Switch,,owned,,,,,"Sep 30, 2025",Square Enix,Creative Business Unit III,Strategy,,,,,"Oct 02, 2025",,,clz
Final Fantasy XII: The Zodiac Age,Nintendo Switch,,owned,,,,,"Apr 30, 2019",Square Enix,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
Fire Emblem Engage,Nintendo Switch,,owned,,,,,"Jan 20, 2023",Nintendo,Intelligent Systems,Strategy,,,,,"Apr 15, 2025",,,clz
Fire Emblem Warriors: Three Hopes,Nintendo Switch,,owned,,,,,"Jun 24, 2022",Nintendo,Koei Tecmo Games,Action,,,,,"Apr 15, 2025",,,clz
Fitness Boxing,Nintendo Switch,,owned,,,,,"Dec 21, 2018",Nintendo,Imagineering,Sports,,,,,"Apr 15, 2025",,,clz
Fitness Boxing 2: Rhythm and Exercise,Nintendo Switch,,owned,,,,,"Dec 04, 2020",Nintendo,Imagineer,Dance,,,,,"Apr 15, 2025",,,clz
Flashback: 25th Anniversary,Nintendo Switch,,owned,,,,,"Jun 19, 2018",Microids,Paul Cuisset,Platformer,,,,,"Apr 15, 2025",,,clz
Fuga: Melodies of Steel 2,Nintendo Switch,,owned,,,,,"May 11, 2023",,CyberConnect2,RPG,,,,,"Jun 20, 2025",,,clz
Fuga: Melodies of Steel 3,Nintendo Switch,,owned,,,,,"May 28, 2025",CyberConnect2,CyberConnect2,RPG,,,,,"Jun 20, 2025",,,clz
Fuga: Melodies of Steel Trilogy Box,Nintendo Switch,,owned,,,,,"May 29, 2025",CyberConnect2,CyberConnect2,RPG | Simulation | Strategy,,,,,"Jun 20, 2025",,,clz
G-Darius HD,Nintendo Switch,,owned,,,,,"Oct 15, 2021",ININ Games,M2,Action | Shoot'em Up,,,,,"Apr 15, 2025",,,clz
Gal Guardians: Demon Purge,Nintendo Switch,,owned,,,,,"Jun 15, 2023",PQube,Inti Creates,Platformer,,,,,"Apr 29, 2025",,,clz
Gal Guardians: Servants Of The Dark,Nintendo Switch,,owned,,,,,"Jun 10, 2025",PQube,Inti Creates,Platformer,,,,,"Jun 18, 2025",,,clz
Gal*Gun 2,Nintendo Switch,,owned,,,,,"Apr 13, 2018",PQube,Inti Creates,Action,,,,,"Apr 15, 2025",,,clz
Gal*Gun: Double Peace,Nintendo Switch,,owned,,,,,"Mar 17, 2022",PQube,Inti Creates,Action,,,,,"Apr 15, 2025",,,clz
Gal*Gun Returns,Nintendo Switch,,owned,,,,,"Feb 12, 2021",PQube,Inti Creates,Action,,,,,"Apr 15, 2025",,,clz
Game Builder Garage,Nintendo Switch,,owned,,,,,"Jun 11, 2021",Nintendo,Nintendo,Puzzle | Simulation,,,,,"Apr 15, 2025",,,clz
Gear.Club Unlimited,Nintendo Switch,,owned,,,,,"Dec 01, 2017",Microids,Eden Games,Racing,,,,,"Apr 15, 2025",,,clz
Gear Club Unlimited 2,Nintendo Switch,,owned,,,,,"Dec 04, 2018",Microids,Eden Games,Racing,,,,,"Apr 15, 2025",,,clz
Ghost Blade HD,Nintendo Switch,,owned,,,,,"Jan 21, 2020",EastAsiaSoft,Hucast Games,Shooter,,,,,"Apr 15, 2025",,,clz
Ghost Trick: Phantom Detective,Nintendo Switch,,owned,,,,,"Jun 30, 2023",Capcom,Capcom,Action | Adventure | Puzzle,,,,,"Apr 15, 2025",,,clz
GO Vacation,Nintendo Switch,,owned,,,,,"Jul 27, 2018",Bandai Namco,Bandai Namco,Party,,,,,"Apr 15, 2025",,,clz
Golden Tee Arcade Classics,Nintendo Switch,,owned,,,,,"Oct 24, 2025",Atari,Digital Eclipse,Arcade | Golf | Sports,,,,,"Oct 28, 2025",,,clz
Golf Story,Nintendo Switch,,owned,,,,,"Nov 17, 2018",Limited Run Games,Sidebar Games,Sports,,,,,"Apr 15, 2025",,,clz
Gradius Origins,Nintendo Switch,,owned,,,,,"Aug 07, 2025",Konami,M2,Compilation,,,,,"Aug 26, 2025",,,clz
Grandia HD Collection,Nintendo Switch,,owned,,,,,"Aug 16, 2019",GungHo,GungHo,Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Gris,Nintendo Switch,,owned,,,,,"Apr 18, 2025",Devolver Digital,Nomada Studio,Platformer | Puzzle,,,,,"Apr 19, 2025",,,clz
Guardian Tales,Nintendo Switch,,owned,,,,,"May 09, 2024",,,Action | Adventure,,,,,"May 19, 2025",,,clz
Gun Gun Pixies,Nintendo Switch,,owned,,,,,Apr 2017,Compile Heart,,Action,,,,,"Apr 15, 2025",,,clz
Gunvolt Chronicles: Luminous Avenger iX,Nintendo Switch,,owned,,,,,"Sep 26, 2019",Limited Run Games,Inti Creates,Action,,,,,"Apr 15, 2025",,,clz
Gunvolt Records Cychronicle,Nintendo Switch,,owned,,,,,"Feb 15, 2024",Inti Creates,Inti Creates,Music,,,,,"Apr 15, 2025",,,clz
Hello Kitty Island Adventure,Nintendo Switch,,owned,,,,,"Mar 25, 2025",Sanrio,Sunblink,Simulation | Simulator,,,,,"Apr 14, 2025",,,clz
Hentai vs. Evil,Nintendo Switch,,owned,,,,,"Dec 10, 2021",Funbox Media,Axyos Games,Action,,,,,"Apr 15, 2025",,,clz
Hookah Haze,Nintendo Switch,,owned,,,,,"Mar 27, 2025",Justdan,Aquire,Visual Novel,,,,,"May 10, 2025",,,clz
Hot Blood,Nintendo Switch,,owned,,,,,"Nov 15, 2024",Funbox Media,EastAsiaSoft,Action | Adventure,,,,,"Apr 15, 2025",,,clz
HYKE:Northern Light(s),Nintendo Switch,,owned,,,,,,,,,,,,,"Jul 13, 2026",,,clz
Hyperdevotion Noire: Goddess Black Heart,Nintendo Switch,,owned,,,,,"Feb 27, 2015",NIS,Idea Factory,RPG,,,,,"Apr 20, 2026",,,clz
Hyperdimension Neptunia Re;Birth1,Nintendo Switch,,owned,,,,,"Aug 26, 2022",Idea Factory,Falistella,RPG,,,,,"Sep 04, 2025",,,clz
Hyperdimension Neptunia Re;Birth2: Sisters Generation,Nintendo Switch,,owned,,,,,"Sep 18, 2025",EastAsiaSoft,Idea Factory,RPG,,,,,"Oct 09, 2025",,,clz
Hyperdimension Neptunia Re;Birth3: V Generation,Nintendo Switch,,owned,,,,,"Jun 26, 2022",NIS,Idea Factory,RPG,,,,,"Nov 19, 2025",,,clz
Hyrule Warriors: Age of Calamity,Nintendo Switch,,owned,,,,,"Nov 20, 2020",Nintendo,Koei Tecmo Games,Action,,,,,"Apr 15, 2025",,,clz
Hyrule Warriors: Definitive Edition,Nintendo Switch,,owned,,,,,"May 18, 2018",Nintendo,KOEI,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Idle Devils,Nintendo Switch,,owned,,,,,"Apr 30, 2026",Leoful,Happy Player,RPG | Strategy,,,,,"May 27, 2026",,,clz
Idol Manager,Nintendo Switch,,owned,,,,,"Sep 01, 2022",PLAYISM,Glitch Pitch,Simulation | Simulator | Visual Novel,,,,,"Apr 15, 2025",,,clz
Illusion Island,Nintendo Switch,,owned,,,,,"Jul 28, 2023",Disney Games,DLALA Studios,Platformer,,,,,"Apr 15, 2025",,,clz
Inazuma Eleven: Victory Road,Nintendo Switch,,owned,,,,,"Nov 10, 2025",Level 5,Level 5,RPG,,,,,"Jul 14, 2026",,,clz
inKONBINI: One Store. Many Stories.,Nintendo Switch,,owned,,,,,"Apr 30, 2026",Nagai Industries,Nagai Industries,Adventure,,,,,"Jul 13, 2026",,,clz
Ion Fury: Double Shot Edition,Nintendo Switch,,owned,,,,,,1C Company,Voidpoint,,,,,,"Apr 08, 2026",,,clz
Iron Meat,Nintendo Switch,,owned,,,,,"Sep 25, 2024",Strictly Limited Games,Retroware,Action | Arcade | Platformer,,,,,"May 10, 2025",,,clz
Jerry Anker and the Quest to get Love,Nintendo Switch,,owned,,,,,"May 30, 2025",Funbox Media,,,,,,,"Jul 27, 2025",,,clz
Jets'N'Guns Complete Collection,Nintendo Switch,,owned,,,,,"Apr 01, 2025",,,Shoot'em Up,,,,,"Apr 29, 2025",,,clz
Kingdom's Return: Time-Eating Fruit and the Ancient Monster,Nintendo Switch,,owned,,,,,"Apr 23, 2026",Inti Creates,Inti Creates,RPG,,,,,"May 11, 2026",,,clz
Kirby and the Forgotten Land,Nintendo Switch,,owned,,,,,"Mar 25, 2022",Nintendo,HAL Laboratory,Platformer,,,,,"Apr 15, 2025",,,clz
Kirby's Return to Dream Land Deluxe,Nintendo Switch,,owned,,,,,"Feb 24, 2023",Nintendo,HAL Labs,Action | Platformer,,,,,"Apr 15, 2025",,,clz
